141,163,354,143,816,339,821,15
,,342,157,125,359,837,30
148,165,357,144,830,343,852,24
,,128,130,802,129,841,37
151,167,127,344,847,132,806,28
,,146,346,803,355,818,45
155,168,149,153,807,124,838,32
,,164,131,39,666,834,22
161,171,360,353,981,145,849,17
,,335,350,980,348,805,4
,,,,,,,
142,,8,824,50,810,844,3
147,,34,839,2,826,349,25
150,,26,854,9,808,827,5
152,160,16,820,11,813,801,42
,,40,814,41,836,809,12
154,166,31,848,27,853,812,36
,,35,835,49,833,850,7
156,169,43,44,18,815,831,10
,,47,822,21,843,825,48
158,170,33,139,14,817,341,23
,,13,,1,823,828,6
159,331,29,,46,829,804,20
,,,,,,,
257,535,63,627,202,61,91,356
,,623,96,887,418,893,776
539,541,326,743,264,625,969,409
,,709,431,622,295,407,785
682,700,959,100,696,687,364,432
,,789,556,707,421,972,693
770,77,319,603,711,878,391,93
,,54,876,880,94,105,297
